Arrangement,LIST OF FILIPINIANA BOOKS,,,,,,,,,
Order,COURSES,TITLE,AUTHOR, Publisher,EDITION,COPIES,ISBN,Warehouse,Call Number,REMARKS
,,CSS And networking,"Sarmiento, Marygin E.",Unlimited Books,2019,2,978-621-427-046-0,,"5630 C.1, 5640 C.2",
,,Office productivity 2016,Jemma Dev't Group,Jemma Inc.,2019,1,978-971-37-0483-2,,5639,
,,Essentials of computer 5th ed.,Jemma Dev't Group,Jemma Inc.,2019,1,978-971-37-0479-5,,5636,
,,Intro. Informations technology  and computer fundamentals,"Besuena, Jerelyn S.",Unlimited Books,2019,2,978-621-427-058-3,,"5624 C.1, 5625 C.2",
,,Living in the information technology era," Revano, Teodoro","Mindshapers  Co., Inc.",2019,1,978-621-406-243-0,,5631,
,,Learning Microsoft visual C#,"Abante, Marmelo V.",Unlimited books,2018,2,978-621-427-031-6,,"5628 C.1, 5629 C.2",
,,Microsoft excel 2016,Jemma Dev't Group,Jemma Dev't Group,2018,1,978-971-37-0474-0,,288,
,,PC assembly troubleshooting & maintenance," Aguilar, Arvel V.",Jimczyville Publications,2018,1,978-621-8122-07-9,,5637,
,,Computer system organization with assembly language,"Revano, Teodoro F","Mindshapers  Co., Inc.",2018,1,978-621-406-168-6,,5605,
,,Introduction to C# programming,"Pomperada, Jake R.","Mindshapers  Co., Inc.",2018,1,978-621-406-152-5,,5610,
,,Montage introduction communication media,"Ang, Jaime G.","Mindshapers  Co., Inc.",2018,1,978-621-406-148-8,,5608,
,,Simple word 2003 Fully Illustrated,"Andes, Antonio M.",Convergelink Books ,2006,1,971-9307-56-0,Philippines,1817,
,,Simple windows XP  Fully Illustrated,"Andes, Antonio M.",Convergelink Books ,2003,1,971-8523-11-1,Philippines,1816,
,,Simple powerpoint Fully Illustrated,"Andes, Antonio M.",Convergelink Books ,2003,1,971-8523-06-5,Philippines,1815,
,,Conducting research a practical application,"Catane, Juliet A.",JMC Press,2000,2,971-11-1050-4,Philippines,"812 C.1 , 811 C.2",
,,Communication of scienctific and technical information,"Velasco, Ma. Theresa H.",UP Open University,2000,2,,Philippines,"1583 C.2, 1584 C.3",FOR LIBRARY USE
,,Research: process and product workbook,"Miranda, Sterling P.",Trailblazer,2006,1,978-971-93307-3-8,Philippines,2828,
,,Into. Computer fundaments & information technology,"Pepito, Copernicus",National Book Store,2010,2,971-08-7077-7,Philippines,"3311 C.1, 3312 C.2",
,,Harnessing computers 3rd edition,Jemma Dev't Group,Jemma Inc.,2012,1,978-971-37-0395-8,Philippines,3331,
,,Intro. Information technology,"Albano, Gisela May",Trinitas Publishing,2003,2,971-42-0405-4,,"2281 C.1, 1470 C.2",
,,Microsoft visual Basic 6 (Made Simple),"Go, Rolando D.",Strong waters Publishing,2010,1,,,2717,
,,Microsoft excel 2007/2010,"Go, Rolando D.",Strong waters Publishing,2010,2,971-9716-64-6/ 971-9176-63-6,,"2718 C.1, 2719 C.2",
,,Microsoft word 2010,Jemma Dev't Group,Jemma Dev't Group,2011,2,978-971-37-0406-1,,"5351 C.1, 5352 C.2",
,,Microsoft office powerpoint 2007/201,"Go, Rolando D.",Strong waters Publishing,2010,1,971-9176-66-9,,2720,
,,Office productivity 2013,Jemma Dev't Group,Jemma Inc.,2014,2,978-971-37-0442-9,,"5355 C.1, 5356 C.2",
,,The computer knowledge book (Beginner's Module),"Osilaja, Tokunbo B.",K.Y.A Corporation,2003,1,971-91552-3-X,,1823,
,,The computer knowledge book ( MS WORD),"Osilaja, Tokunbo B.",K.Y.A Corporation,2004,1,971-91552-5-6,,1834,
,,The computer knowledge book (MS EXCEL),"Osilaja, Tokunbo B.",K.Y.A Corporation,2004,1,971-91552-4-8,,1833,
,,Robotics  An Introduction,"Cosico, Roxan R.",Jemma Inc.,2008,1,978-971-37-0338-5,,2714,
,,Understanding PC Hardware ,"Marcelo, Antoinette R.",Jemma Inc.,2008,1,978-971-37-0356-9,,2711,
,,InDesign CS6,Jemma Dev't Group,Jemma Inc.,2013,1,978-971-37-0403-0,,5367,
,,Databases MS Access,"Mendoza, Joybe A.",Jemma Inc.,2008,1,979-971-37-0325-5,,5367,
,,Simple coreldraw 12 Fully Illustrated,"Andes, Antonio M.",Andes  Mountain Printers,2005,1,971-8523-30-8,,1978,
,,Simple internet Fully Illustrated,"Andes, Antonio M.",Convergelink Books ,2006,1,971-9307-59-5,,1818,
,,Simple photoshop Fully Illustrated,"Andes, Antonio M.",Convergelink Books ,2006,1,971-9231-17-3,,1819,
,,Creative design CS16,Jemma Dev't Group,Jemma Inc.,2013,1,978-971-37-0401-6,,5634,
,,Photoshop  CS6,Jemma Dev't Group,Jemma Inc.,2013,2,978-971-37-0402-3,,"5365 C.1, 5366 C.2",
,,HTML 5 & CSS3, Jemma Dev't Group,Jemma Inc.,2013,2,978-971-37-0399-6,,"5361 C.1, 5362 C.2",
,,Introduction to HTML 5,"Pepito, Copernicus",National Book Store,2010,,917-08-7045-9,,3033,
,,Programming concepts 1st ed.,"Padre, Nilo M.",Unlimited Books ,2016,2,978-971-9654-17-9,,"5626 C.1, 5627 C.2",
,,Web application Programming Language,"Abante, Marmelo V.",Anvil Publishing Inc.,2013,2,978-971-27-2858-7,,"5357 C.1, 5358 C.2",
,,Concepts in programming languages,"Albacea, Eliezer A.",UPLB Foundation,2003,1,971-547-204-4,,1976,
,,Information technology for Nursing and allied health  studies,"Refre, Antonio E.",Jemma Inc.,2008,1,978-971-37-0332-3,,2712,
,,Introduction to computer,"Andes, Antonio M.",World Class printing and packaging,2003,1,971-8523-15-4,,1829,
,,Research and statistics with thesis and dissertation  writing,"Ariola, Mariano M.",Unlimited Books,2014,1,978-971-95961-0-3,,5215,
,,Font catalog,"Andes, Maritoni",Convergelink Books ,2006,1,,,1826,
,,Movie making animation and multimedia,"Marcelo, Antoinette R.",Jemma,2008,1,978-971-37-0357,,2710,
1,Mass Communication,Philippine communication an introduction,"Maslog, Crispin C.",Philippine Association of Communication Educators,1988,1,971-110-061-4,,2533,Donated by: Nick Ampatin
,,"Environment communication: principles, approaches and strategies of communication","Flor, Alexander G.",University of the Philippines,2004,1,,,,
,,Journalism for filipinos,"Malinao, Alito L.",National Book Store,2003,1,971-08-6358-4,,2584,
,,Campus journalism,"Cruz, Ceciliano- Jose",Rex Book Store,1997,1,971-23-2143-6,,774,
,,Journalism Handbook,"Pangilinan, Estelita C.",National Book Store,1995,1,971-08-4184-X,,2588,
,,Journalism Handbook 3rd ed.,"Ramirez, Jaime B.",National Book Store,1983,1,,,2010,
,,Media and information literacy Handbook,"Khan, Rachel",Anvil Publishing,2015,1,978-971-27-3059-7,,5127,
,,Community radio broadcasting in the philippines,"Egargo, Fernando N.",National Book Store,2008,1,971-08-6913-2,,2258,
,,Broadcast management,"Soriano, Robert F.",Booklore Publishing,2000,1,971-817-014-6,,1190,
,,Newspaper management,"Soriano, Robert F.",Booklore Publishing,2000,1,971-817-015-4,,2589,
,,Tanglaw introduction to film,"Ang, Jaime G.","Mindshapers  Co., Inc.",2014,1,978-971-9905-78-3,,5211,
,,Aspects of Film production,"Soriano, Robert F.",Booklore Publishing,2000,1,971-817-701-89,,2283,
,,Philippine and International Radio Laws and regulations,"Payumo, Pablo R.",National Book Store,2006,1,971-08-6711-3,,2286,
,,Pure power,"Valentine, James Lee",National Book Store,2000,1,971-086-122-0,,1949,
,,Featuring the philippines press 1637 to 2005,"Villadolid, Alice C.",,2005,2,,,"1585 C.2, 1586 C3.",LIBRARY USE
,,Featuring the philippines press 1637 to 2005,"Villadolid, Alice C.",Art angel Printshop,2005,1,,,1540 C.1,
,,Feature Writing for Filipinos,"Genove, Maria cecilia",National Book Store,2004,1,971-10-1118-2,,1840,
,,Feature editorial and opnion writing,"Malinao, Alito L.",National Book Store,2008,1,971-08-6816-0,,2467,
,,The Media Kit ( Book One),"Casul, Melanie",Anvil Publishing,2008,1,978-971-27-2012-3,,2599,
,,The Media Kit ( Book Two),"Casul, Melanie",Anvil Publishing,2008,1,978-971-27-2013-0,,2600,
,,SineGabay,"Deocampo, Nick",Anvil Publishing,2008,1,978-971-27-2164-9,,2580,
,,Ethnovideography,"Flor, Alexander G.",SEAMEO SEARCA,2002,3,971-560-080-8,,"1551, 1591, 1592",
,,Storytelling on film and video,"Kenny, Isabel E.",Anvil Publishing,2008,1,978-971-27-2119-9,,2284,
